Posture,Count,Yaw_S1_Mean,Yaw_S1_Std,Roll_S3_Mean,Roll_S3_Std,Pitch_S1_Mean,Pitch_S1_Std
Read_Book_Abnormal,1891,7.477091485986251,3.2553061611370744,1.1337969328397672,3.4340817290368726,-53.86134849286092,4.652582730506009
Read_Book_Normal,2993,-0.7045205479452055,1.3116352686130979,-0.9903007016371534,2.4947301361728593,-73.3284363514868,1.4046575126994267
Siting_Telephone_Use_Abnormal,1507,6.988613138686132,1.6599141566989133,5.304246848042469,4.758535395511976,-54.025839416058396,3.9743335416592425
Siting_Telephone_Use_Normal,3771,-1.2528003182179794,1.7795415638186112,1.2285521081941129,2.292537917820501,-73.45455316892071,2.991366512697228
Sitting_Relax_Abnormal,1171,0.034099060631938474,2.027145465647829,0.1961485909479077,4.272127728066005,-65.81315969257045,5.81286027164978
Sitting_Relax_Normal,3507,-3.437550613059595,1.481387939775929,-6.1934017678927855,6.903331832726088,-77.13069004847448,2.977719714426584
StandUp_Abnormal,1532,-3.585763707571801,2.4102179891793827,3.924915143603133,3.988104723721958,-61.983074412532645,1.9510811653021964
StandUp_Normal,3626,-4.8371180364037505,3.099822570383129,-1.663353557639272,2.9247309818282363,-77.69624379481523,2.6459859743932173
Use_Phone_StandUp_Abnormal,1476,2.78780487804878,1.8769830621134902,2.1726422764227644,4.350519991918516,-60.053231707317074,4.576034200769734
Use_Phone_StandUp_Normal,3749,-3.284705254734596,1.726234157004671,-7.280944251800481,6.374460490644254,-76.47101093624966,3.1429920549975803
Vizionare_VideoLaptop_Abnormal,1587,5.637857592942658,2.952204737051251,7.377271581600504,6.962480655368895,-56.32647763074984,4.55190513514582
Vizionare_VideoLaptop_Normal,3094,-1.7029896574014223,1.8905821728680092,-1.3381124757595348,4.306065098217489,-75.87787653522949,3.0458180957239382
Walking_Abnormal,1508,3.7504376657824934,3.4874128873814247,5.383275862068965,8.918914670330873,-57.46631962864722,7.320320386432045
Walking_Normal,3466,-3.7710934795152915,2.0050004124401872,2.262270628967109,10.623265415563587,-76.36705135603,3.806716281769243
Write_PC_Abnormal,1479,4.174381338742394,5.693293267817211,7.02290736984449,6.0436653053937,-57.16899256254226,11.379697462717353
Write_PC_Normal,3854,-1.3029268292682927,2.0160263795864988,0.933297872340426,5.381843802621636,-74.19125843279708,2.889477423532822
Write_book_Abnormal,1519,16.132876892692558,5.552801197443147,-0.005918367346938707,2.8656232314333763,-36.85239631336405,7.536544400471364
Write_book_Normal,3366,0.7205555555555556,2.3519250160586096,-1.5356714200831847,2.92643555062698,-69.52681818181817,3.073935521559694
